pushepisode,mob_type,total_damage_dealt,total_health_lost,total_time,min_reward,max_reward,killed_mob,episode_time
27,Zombie,20.0,5.000002,18.172551155090332,-30.000000000000018,136.4199925,True,454
28,Zombie,20.0,0.0,6.4625959396362305,0.0,120.81997,True,160
29,Zombie,20.0,0.0,18.533910274505615,-30.0,132.876598,True,464
30,Zombie,20.0,0.0,18.781447410583496,0.0,120.4599925,True,471
31,Zombie,20.0,0.0,22.772827625274658,-30.0,114.66948024999999,True,569
32,Zombie,16.0343776,1.1666659999999993,24.100576162338257,-30.0,59.04,False,601
33,Zombie,19.3787564,0.0,24.000651597976685,-30.0,83.80001499999999,False,600
34,Zombie,20.0,5.833334000000001,19.7723445892334,-30.0,188.67789249999998,True,495
35,Zombie,20.0,18.833334,21.21957564353943,-30.0,103.319994,True,531
36,Zombie,7.262034999999999,0.0,24.10236883163452,-30.0,59.04,False,601
37,Zombie,19.62000024,0.0,24.00926899909973,-30.0,162.35999999999999,False,600
38,Zombie,20.0,0.0,20.17435359954834,-30.0,106.2788368,True,505
39,Zombie,20.0,0.0,15.658557891845703,0.0,121.179997,True,392
40,Zombie,20.0,0.0,11.275315999984741,-30.0,194.919985,True,282
41,Zombie,20.0,0.0,8.692363739013672,-20.0,132.84000749999998,True,218
42,Zombie,20.0,0.0,13.619847297668457,-30.0,158.409478,True,341
43,Zombie,20.0,0.0,12.584401369094849,0.0,135.75998950000002,True,315
44,Zombie,17.9900346,20.0,24.037166357040405,-30.000000000000004,103.32,False,600
45,Zombie,20.0,7.833332,18.674047231674194,-30.0,147.6000105,True,467
46,Zombie,20.0,0.0,12.761962175369263,-30.0,120.999994,True,319
47,Zombie,20.0,0.0,12.635274887084961,-30.0,147.6000105,True,316
48,Zombie,20.0,0.0,15.242952108383179,-30.0,159.669481,True,381
49,Zombie,20.0,2.0,10.699832201004028,-30.0,150.64,True,268
50,Zombie,20.0,4.999998,13.765328407287598,-30.000000000000018,120.8248495,True,343
51,Zombie,20.0,6.833333,20.32467246055603,-30.0,100.425341125,True,508
52,Zombie,20.0,0.0,8.080833435058594,-15.899992499999986,133.82056,True,202
53,Zombie,20.0,0.0,11.194003582000732,-30.0,254.56,True,280
54,Zombie,16.728029,9.166666,24.024473190307617,-30.0,68.406105,False,600
55,Zombie,16.4346533,1.0000019999999985,24.01540207862854,-30.0,73.80000450000001,False,600
56,Zombie,12.061738,10.833333,23.99226999282837,-30.0,78.9860625,False,599
57,Zombie,20.0,0.0,17.25014877319336,-30.0,164.199985,True,432
58,Zombie,12.153738,12.333333,24.02976155281067,-30.0,103.3200075,False,600
59,Zombie,20.0,0.0,10.60310697555542,-30.0,132.84,True,265
60,Zombie,14.8435054,18.3333311,24.043304443359375,-30.000001000000005,103.3200075,False,600
61,Zombie,20.0,0.0,12.963733434677124,0.0,150.099988,True,324
62,Zombie,20.0,0.0,12.117599248886108,0.0,180.39998500000002,True,303
63,Zombie,13.6393185,0.0,24.044410467147827,-30.0,59.03999249999999,False,599
64,Zombie,20.0,0.0,12.581751108169556,-30.0,193.7199955,True,315
65,Zombie,20.0,1.3333340000000007,14.261016607284546,-30.0,117.46618000000001,True,356
66,Zombie,20.0,0.0,16.996312618255615,0.0,105.3399778,True,425
67,Zombie,20.0,0.0,17.45606803894043,-30.0,185.42986000000002,True,438
68,Zombie,14.121626,4.833332,24.005118131637573,-30.0,59.04000000000001,False,600
69,Zombie,20.0,0.0,19.020936012268066,-30.0,106.6000027,True,477
70,Zombie,19.65600014,0.0,23.995346784591675,-30.0,132.84,False,599
71,Zombie,20.0,4.166668,19.791500329971313,-30.0,115.90618599999999,True,495
72,Zombie,20.0,3.0,13.122435569763184,-30.0,116.1739165,True,328
