episode,mob_type,total_damage_dealt,total_health_lost,total_time,min_reward,max_reward,killed_mob,episode_time
62,Witch,0.0,5.666668,18.045656204223633,-60.0,165.0,False,600
63,Witch,7.0,8.500002,18.028883457183838,-60.0,105.0,False,600
64,Witch,11.0,18.1666679,18.100043296813965,-60.0,120.0,False,600
65,Witch,19.0,-1.0,18.005101680755615,-60.0,150.0,False,599
66,Witch,0.0,5.833333,17.98786973953247,-60.0,120.0,False,599
67,Witch,3.0,15.000002,17.997234582901,-60.0,95.0,False,600
68,Witch,0.0,18.1666679,18.037231922149658,-60.0,105.0,False,600
69,Witch,9.0,6.166668,18.003896713256836,-60.0,150.0,False,599
70,Witch,4.0,3.6666659999999993,18.012959480285645,-60.0,150.0,False,600
71,Witch,5.0,19.666666030000002,18.037198066711426,-60.0,150.0,False,600
72,Witch,3.0,0.0,18.056883335113525,-70.0,150.0,False,601
73,Witch,0.0,10.0,17.998178243637085,-60.0,120.0,False,600
74,Witch,21.0,10.666668,18.069002628326416,-70.0,135.0,False,601
75,Witch,26.0,8.333334,17.600715398788452,-60.0,135.0,True,586
76,Witch,0.0,20.0,16.003320932388306,-60.0,15.0,False,529
77,Witch,15.299999,2.1666680000000014,17.999495267868042,-60.0,150.00000300000002,False,599
78,Witch,0.0,8.166668,18.046217679977417,-10.0,10.0,False,599
79,Witch,3.3000000000000007,3.5000019999999985,18.02309012413025,-60.0,135.0,False,601
80,Witch,0.0,18.500001,18.06289291381836,-60.00000000000001,90.0,False,599
81,Witch,10.0,5.500002,17.968263149261475,-60.0,150.0,False,598
82,Witch,26.0,0.0,7.444769859313965,-60.0,150.0,True,250
83,Witch,26.0,0.0,15.911786079406738,-60.0,150.0,True,530
84,Witch,10.0,0.16666800000000137,17.997291326522827,-60.0,135.0,False,599
85,Witch,0.0,12.000001000000001,18.047163248062134,-60.0,105.0,False,601
