episode,mob_type,total_damage_dealt,total_health_lost,total_time,min_reward,max_reward,killed_mob,episode_time
39,Witch,25.0,5.166668,11.994626998901367,-60.0,135.0,False,599
40,Wolf,8.0,4.166667,3.2956974506378174,-40.0,35.0,True,165
41,Skeleton,20.0,7.833332,8.670539140701294,-20.0,150.00001199999997,True,434
42,Blaze,17.0,0.0,12.087972640991211,-50.0,150.0,False,601
43,Zombie,20.0,0.0,1.9147834777832031,-30.0,147.600015,True,97
44,Witch,4.839040000000001,0.0,11.999288558959961,-60.0,150.0,False,599
45,Wolf,8.0,0.0,0.8313817977905273,0.0,120.0,True,41
46,Blaze,16.0,9.166668,12.037788391113281,-60.0,105.0,False,600
47,Zombie,15.458637,8.999999,12.055699110031128,-30.0,103.3200075,False,600
48,Ghast,10.0,0.0,9.226982355117798,-20.0,105.0,True,460
49,Zombie,20.0,10.333334,11.149019718170166,-30.0,132.84000749999998,True,556
50,Blaze,0.0,20.0,4.099437713623047,-20.0,0.0,False,205
51,Ghast,2.9142400000000004,0.0,12.045666217803955,-60.0,43.71360000000001,False,601
52,Skeleton,20.0,0.0,3.137080192565918,-20.0,105.0,True,158
53,Witch,0.0,6.0,11.965313911437988,-70.0,75.0,False,597
54,Skeleton,16.455999900000002,20.0,8.684691905975342,-20.0,80.270385,False,430
55,Zombie,20.0,0.0,6.912327289581299,-30.0,88.56000000000002,True,346
56,Ghast,10.0,0.0,10.158331155776978,-70.0,120.0,True,508
57,Skeleton,20.0,0.0,3.6051580905914307,-20.0,105.0,True,180
58,Blaze,17.0,20.0,11.604374885559082,-60.0,120.0,False,576
59,Blaze,7.0,0.0,11.969960689544678,-50.0,75.0,False,597
60,Wolf,8.0,4.0,1.8776085376739502,-40.0,95.640006,True,95
61,Zombie,20.0,0.0,3.6635828018188477,-30.0,59.04000149999999,True,183
62,Skeleton,20.0,1.3333359999999992,7.287979602813721,-20.0,60.0,True,365
63,Wolf,6.5920000000000005,20.0,8.920773983001709,-40.0,45.0,False,445
64,Wolf,8.0,0.0,3.32088565826416,-40.0,45.0,True,167
65,Zombie,20.0,0.0,3.239969491958618,0.0,137.999985,True,161
66,Wolf,8.0,9.0,3.3291757106781006,-40.0,45.0,True,167
67,Zombie,20.0,-3.0,3.590688705444336,-30.0,147.600006,True,180
68,Skeleton,20.0,2.0,6.946100234985352,-20.0,120.0,True,346
69,Blaze,10.0,5.166665999999999,12.060728311538696,-50.0,45.0,False,600
70,Ghast,10.0,0.0,0.5933811664581299,0.0,125.639985,True,30
71,Wolf,8.0,11.0,3.8384289741516113,-40.0,45.0,True,192
72,Wolf,8.0,0.0,3.368539571762085,0.0,75.0,True,168
73,Witch,0.0,13.666668,12.00347089767456,-60.0,75.0,False,599
74,Blaze,2.0,20.0,9.00891637802124,-50.00000000000001,40.0,False,449
75,Blaze,14.0,20.0,4.484818458557129,-60.0,120.0,False,224
76,Blaze,18.6345596,0.0,11.984968185424805,-60.0,75.0,False,597
77,Skeleton,20.0,7.666667,7.427224636077881,-20.0,120.0,True,369
78,Blaze,20.0,12.666666,6.149801254272461,-60.0,105.0,True,307
79,Wolf,8.0,0.0,10.376064538955688,-40.0,90.0,True,520
80,Ghast,10.0,0.0,0.5930006504058838,0.0,105.0,True,30
81,Skeleton,20.0,1.5,7.587737560272217,-20.0,60.0,True,380
82,Zombie,20.0,6.833332,9.105725526809692,-30.0,90.6240315,True,456
